ID,タスク,期日,画像リンク
18,"各種ブラウザのアップデート<br>①Edge<br>　⇒「…」⇒ヘルプとフィードバック⇒Microsoft Edgeについて<br>②chrome<br>　⇒「︙」⇒ヘルプ⇒Google Chromeについて<br>③FireFox<br>　⇒「≡」⇒ヘルプ⇒FireFoxについて⇒再起動してFireFoxを更新",,images/set18.png
19,"Acrobat Readerのアップデート<br>①Acrobat Readerを起動<br>②メニューからヘルプ⇒アップデートの有無をチェック<br>③アップデートがあれば実施、なければそのままでOK",,images/set19.png
20,"VLCメディアプレイヤーのアップデート<br>①VLCメディアプレイヤーを起動<br>②メニューの「ヘルプ」⇒アップデートの確認<br>③最新のVLCメディアプレイヤーを使用中と表示されればOK<br>　最新でなければそのままアップデート作業へ",,images/set20.png
21,"ウィルスバスターのアップデート<br>①スタートメニューからTrend Micro Apex Oneセキュリティエージェント<br>②セキュリティエージェントを開きアップデートを実行",,images/set21.png
22,"パブリックディスクトップ<br>①C:\Users\Public\Desktop<br><span class=task-note>↑マニュアルだとユーザー名のパブリックとなっているが、恐らくパブリックディスクトップだろうと思う</span><br>②ディスクトップにあるショートカットを切り取って貼り付け<br>③1列目<br>・PC<br>・教員共有<br>・ゴミ箱<br>・Edge<br>・Chrome<br>・FireFox<br>・VLCメディアプレイヤー<br>・Adobe Acrobat<br>・Lhaplus<br>④2列目<br>・Excel<br>・Word<br>・PowerPoint<br>・FortiClient<br>・谷岡学園WEBシステム<br>・S-Navi<br>・大阪商業大学<br>・出席確認システム(Saai-MAS)<br>・授業支援システム(学ばコース)",,images/set22.png
23,"インターネットのデフォルト設定<br>①スタートページ設定(Edge、FireFoxはYahoo!に設定)<br>②タスクバーにMicrosoft Edge追加(ピン止め)<br>③Edge<br>　1.アドレスバーで使用する検索エンジンをGoogleに設定<br>　2.Edgeを既定のブラウザに設定<br>④大阪商業大学　各リンクの起動確認<br>⑤S-Navi「谷岡学園 WEBシステム」へのURLリンクをEdgeのお気に入りに追加",,images/set23.png
24,"SSL-VPN設定<br>①Forti Client SSL VPN 接続",,images/set24.png
25,"<span class=task-note>設定項目に進みます</span><br>高速スタートアップ＆スリープのOFF<br>①コントロールパネル⇒システムとセキュリティ⇒電源オプション<br>　電源ボタンの動作を選択する<br>②現在利用できない設定に変更します<br>③シャットダウン状態で「スリープ状態の…」のチェックを外す ☑ ⇒ ☐<br>④高速スタートアップを有効にするのチェックを外す ☑ ⇒ ☐<br>⑤変更の保存",,images/set25.png
26,"時刻の同期<br>①コントロールパネル⇒時計と地域⇒日付と時刻⇒インターネット項目<br>　⇒設定の変更⇒インターネット時刻サーバーと同期する⇒「10.2.0.1」入力<br>　⇒今すぐ更新⇒エラー⇒×⇒再確認⇒同期しました⇒OK",,images/set26.png
27,"①フォルダ設定(拡張子を表示)<br>②エクスプローラーを開く⇒「…」⇒オプション⇒ホーム⇒PC⇒適用⇒OK<br><span class=task-note>　↑ここがよくわからない</span>",,images/set27.png
28,"DVDドライブをQドライブへ変更<br>①PC右クリック⇒その他のオプション⇒管理⇒ディスクの管理<br>　⇒CD-ROM(D)右クリック⇒ドライブ文字とパスの変更⇒変更<br>　⇒次のドライブに割り当てる⇒Q⇒OK⇒はい⇒閉じる",,images/set28.png
29,"①ディスクトップアイコンの並び<br>②ログインユーザー名を性名に変更<br>③コンピューター名をつける",,images/set29.png
30,"履歴データクリア<br>①ブラウザ3種(Edge、chrome、FireFox)<br>②IME入力履歴(学習と辞書 ⇒ 入力履歴の消去)<br>③ダウンロードフォルダ<br>④通知(タスクバー右下の吹き出し)",,images/set30.png
31,"ディスククリーンアップ<br>①Cクリック⇒クリーンアップ⇒システムファイルのクリーンアップ<br>・Windows Update<br>・配信の最適化ファイル<br>②ファイルの削除<br>③ゴミ箱の削除",,images/set31.png
32,"①最近使用したファイル(クイックアクセス)<br>　フォルダ⇒オプション⇒プライバシー<br>②クリップボード<br>　設定⇒システム⇒クリップボード<br>③最近使ったアプリ、アイテム等のの使用履歴<br>　設定⇒個人設定⇒スタート⇒スタートで推奨される～表示するをオフ・オン",,images/set32.png
33,"検索履歴<br>①設定⇒プライバシーと～⇒検索アクセス許可⇒デバイスの検索履歴をクリア<br>アクティビティの履歴<br>②設定⇒プライバシーと～⇒アクティビティの履歴⇒アクティビティの履歴をクリア",,images/set33.png
34,"<span class=task-note>ドメイン参加</span><br>①PC右クリック⇒プロパティ⇒ドメインまたはワークグループ<br>②コンピューター名を変更<br>③所属するグループ<br>　ドメイン：shodai.ouc<br>　ID：shodai\administrator<br>　PW：CaNa****<br>④ドメインにようこそ⇒再起動⇒User(※PWなし)<br>⑤ネットワーク⇒固定IPアドレス設定",,images/set34.png
